section_id,question_id,canonical_name,table_name,column_name,response_type,data_type,codebook_id,privacy_action,candidate_domain,candidate_feature,feature_semantics,derivation_type,eligible,reason
B,B1,baseline_mortality,,,text,numeric,,retain,flock_clinical,baseline_mortality,Questionnaire-reported baseline mortality value,direct,TRUE,Retained parsed numeric scalar with unambiguous question semantics
B,B1,initial_sampling_mortality,,,text,numeric,,retain,flock_clinical,initial_sampling_mortality,Questionnaire-reported initial sampling mortality value,direct,TRUE,Retained parsed numeric scalar with unambiguous question semantics
B,B4,eggs_present,,,text,numeric,,retain,flock_clinical,eggs_present,Questionnaire-reported total eggs present,direct,TRUE,Retained parsed numeric scalar with unambiguous question semantics
B,B4,eggs_laid_last_week,,,text,numeric,,retain,flock_clinical,eggs_laid_last_week,Questionnaire-reported eggs laid in the last week,direct,TRUE,Retained parsed numeric scalar with unambiguous question semantics
B,B2,ai_tests,ai_tests,date|result|test_type,table,mixed,,retain,flock_clinical,ai_test_records,Rows with retained AI-test analytical content,count,TRUE,Record presence can be defined without identity-bearing columns
B,B3,houses,houses,bird_type|age_weeks|birds_placed|birds_today|ventilation_type|clinical_onset_date,table,mixed,,retain,flock_clinical,house_records,Rows with retained house analytical content,count,TRUE,Record presence can be defined without the local house identifier
C,C1,carcass_bin_available,,,coded,character,yes_no_1_3,retain,mortality_disposal,carcass_bin_available_reported,Explicit Yes or No response,logical,TRUE,Binary mapping is complete and missing remains missing
C,C1,mortality_disposal,mortality_disposal,site_status|dates|distance_yards,table,mixed,,retain,mortality_disposal,mortality_disposal_records,Method rows with retained analytical content,count,TRUE,Methods are counted without ranking or scoring
C,C2,manure_from_another_premises,,,coded,character,yes_no_1_3,retain,manure_materials,manure_from_another_premises_reported,Explicit Yes or No response,logical,TRUE,Binary mapping is complete and missing remains missing
C,C1;C2,manure_destinations,manure_destinations,date|intended_use|livestock_or_poultry_housed|type,table,mixed,,retain,manure_materials,manure_destination_records,Destination rows with retained analytical content,count,TRUE,Destination identity is not used
C,C2,imported_materials,imported_materials,product_species_origin|date,table,mixed,,retain,manure_materials,imported_material_records,Imported-material rows with retained analytical content,count,TRUE,Source identity is not used
C,C3,visited_other_premises,,,coded,character,yes_no_1_3,retain,personnel_contact,worker_other_premises_visits_reported,Explicit parent response preserved independently of child rows,logical,TRUE,Parent and child semantics are explicit and contradictions can be flagged
C,C3,worker_visits,worker_visits,person_title|date,table,mixed,,retain,personnel_contact,worker_visit_records,Worker-visit rows with retained analytical content,count,TRUE,Person and premises identifiers are not used
C,C3;C4,crews,crews,crew_type|date,table,mixed,,retain,personnel_contact,crew_records,Crew rows with retained analytical content,count,TRUE,Crew and company identities are not used
C,C4,visitors,visitors,visit_premises|visit_dates|entered_poultry_barn|other_livestock_premises_type,table,mixed,,retain,personnel_contact,visitor_records,Visitor-category rows with retained analytical content,count,TRUE,Count is explicitly records rather than unique people
C,C4;C5,shared_equipment,shared_equipment,received_or_loaned|date_last_on_site|other_premises_livestock_type,table,mixed,,retain,shared_equipment,shared_equipment_records,Shared-equipment category rows with retained analytical content,count,TRUE,Entity identifiers are not used
C,C5,birds_introduced;birds_moved_off_premises,,,coded,character,yes_no_1_3,retain,bird_movement,birds_introduced_reported;birds_moved_off_reported,Explicit directional parent responses preserved independently of child rows,logical,TRUE,Direction-specific child filters are defined by the semantic table
C,C5,bird_movements,bird_movements,bird_type|date,table,mixed,,retain,bird_movement,bird_movement_records,Bird-movement rows with retained analytical content,count,TRUE,Source destination and transporter identifiers are not used
