feature_order,feature_schema_version,feature_version,form_version,feature_name,feature_label,domain_id,feature_type,source_type,source_table,source_variable,source_question_id,source_codebook_id,derivation_type,derivation,true_values,false_values,missing_behavior,unit,description,notes,child_table,child_filter,child_record_fields
1,1,1,2024-05-28,baseline_mortality,Baseline mortality,flock_clinical,numeric,scalar_response,epi_responses_long,baseline_mortality,B1,,direct,Copy the parsed numeric response.,,,Blank or unparsed responses remain missing with an explicit value status,questionnaire-reported rate,Questionnaire-reported baseline mortality value.,No unit conversion or interpretation is applied.,,,
2,1,1,2024-05-28,initial_sampling_mortality,Initial sampling mortality,flock_clinical,numeric,scalar_response,epi_responses_long,initial_sampling_mortality,B1,,direct,Copy the parsed numeric response.,,,Blank or unparsed responses remain missing with an explicit value status,questionnaire-reported rate,Questionnaire-reported mortality value at initial sampling.,No unit conversion or interpretation is applied.,,,
3,1,1,2024-05-28,eggs_present,Eggs present,flock_clinical,numeric,scalar_response,epi_responses_long,eggs_present,B4,,direct,Copy the parsed numeric response.,,,Blank or unparsed responses remain missing with an explicit value status,eggs,Questionnaire-reported total eggs present.,No imputation is performed.,,,
4,1,1,2024-05-28,eggs_laid_last_week,Eggs laid in last week,flock_clinical,numeric,scalar_response,epi_responses_long,eggs_laid_last_week,B4,,direct,Copy the parsed numeric response.,,,Blank or unparsed responses remain missing with an explicit value status,eggs,Questionnaire-reported eggs laid in the last week.,No imputation is performed.,,,
5,1,1,2024-05-28,ai_test_records,AI test records,flock_clinical,count,repeated_table,epi_ai_tests,date|result|test_type,B2,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content records and does not confirm that testing did not occur,records,Number of AI test rows containing retained analytical content.,Row presence is not interpreted as a test result.,,,
6,1,1,2024-05-28,house_records,House records,flock_clinical,count,repeated_table,epi_houses,bird_type|age_weeks|birds_placed|birds_today|ventilation_type|clinical_onset_date,B3,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content records and does not confirm that no houses exist,records,Number of house rows containing retained analytical content.,Local house identifiers are not used to define this count.,,,
7,1,1,2024-05-28,carcass_bin_available_reported,Carcass bin available reported,mortality_disposal,binary,scalar_response,epi_responses_long,carcass_bin_available,C1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether the questionnaire explicitly reports a carcass bin is available.,TRUE means Yes and FALSE means No.,,,
8,1,1,2024-05-28,carcass_bin_kept_covered_reported,Carcass bin kept covered reported,mortality_disposal,binary,scalar_response,epi_responses_long,carcass_bin_kept_covered,C1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether the questionnaire explicitly reports the carcass bin is kept covered.,TRUE means Yes and FALSE means No.,,,
9,1,1,2024-05-28,carcass_bin_shared_reported,Carcass bin shared reported,mortality_disposal,binary,scalar_response,epi_responses_long,carcass_bin_shared,C1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether the questionnaire explicitly reports the carcass bin is shared.,TRUE means Yes and FALSE means No.,,,
10,1,1,2024-05-28,mortality_disposal_records,Mortality disposal records,mortality_disposal,count,repeated_table,epi_mortality_disposal,site_status|dates|distance_yards,C1,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content method rows and not confirmed absence of mortality disposal,records,Number of mortality-disposal method rows containing retained analytical content.,Methods are not ranked or scored.,,,
11,1,1,2024-05-28,manure_from_another_premises_reported,Manure from another premises reported,manure_materials,binary,scalar_response,epi_responses_long,manure_from_another_premises,C2,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether manure from another premises is explicitly reported.,TRUE means Yes and FALSE means No.,,,
12,1,1,2024-05-28,manure_destination_records,Manure destination records,manure_materials,count,repeated_table,epi_manure_destinations,date|intended_use|livestock_or_poultry_housed|type,C1;C2,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content destination rows and not confirmed absence of manure movement,records,Number of manure destination rows containing retained analytical content.,Destination identities are not used.,,,
13,1,1,2024-05-28,imported_material_records,Imported material records,manure_materials,count,repeated_table,epi_imported_materials,product_species_origin|date,C2,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content rows and not confirmed absence of imported materials,records,Number of imported animal or material rows containing retained analytical content.,Source identities are not used.,,,
14,1,1,2024-05-28,worker_other_premises_visits_reported,Worker visits to other premises reported,personnel_contact,binary,scalar_response,epi_responses_long,visited_other_premises,C3,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether visits to other premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_worker_visits,,person_title|date
15,1,1,2024-05-28,worker_visit_records,Worker visit records,personnel_contact,count,repeated_table,epi_worker_visits,person_title|date,C3,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content records and does not establish an explicit No response,records,Number of worker or processor visit rows containing retained analytical content.,Person and premises identifiers are not used.,,,
16,1,1,2024-05-28,contract_workers_reported,Contract workers reported,personnel_contact,binary,scalar_response,epi_responses_long,contract_workers_present,C3,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether contract workers are explicitly reported.,TRUE means Yes and FALSE means No.,,,
17,1,1,2024-05-28,crews_entered_premises_reported,Crews entered premises reported,personnel_contact,binary,scalar_response,epi_responses_long,crews_enter_premises,C3,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether crews entering the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_crews,,crew_type|date
18,1,1,2024-05-28,crew_records,Crew records,personnel_contact,count,repeated_table,epi_crews,crew_type|date,C3;C4,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content records and does not establish an explicit No response,records,Number of crew rows containing retained analytical content.,Crew or company identities are not used.,,,
19,1,1,2024-05-28,visitor_records,Visitor records,personnel_contact,count,repeated_table,epi_visitors,visit_premises|visit_dates|entered_poultry_barn|other_livestock_premises_type,C4,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content category rows and does not confirm no visitors occurred,records,Number of visitor-category rows containing retained analytical content.,A record count is not a count of unique people.,,,
20,1,1,2024-05-28,farm_equipment_moved_within_premises_reported,Farm equipment moved within premises reported,shared_equipment,binary,scalar_response,epi_responses_long,farm_equipment_moved_within_premises,C6,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether within-premises farm-equipment movement is explicitly reported.,No causal interpretation is applied.,,,
21,1,1,2024-05-28,shared_equipment_records,Shared equipment records,shared_equipment,count,repeated_table,epi_shared_equipment,received_or_loaned|date_last_on_site|other_premises_livestock_type,C4;C5,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content category rows and does not confirm equipment was not shared,records,Number of shared-equipment category rows containing retained analytical content.,Entity identifiers are not used.,,,
22,1,1,2024-05-28,birds_introduced_reported,Birds introduced reported,bird_movement,binary,scalar_response,epi_responses_long,birds_introduced,C5,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether birds introduced onto the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_bird_movements,direction=onto,bird_type|date
23,1,1,2024-05-28,birds_moved_off_reported,Birds moved off premises reported,bird_movement,binary,scalar_response,epi_responses_long,birds_moved_off_premises,C5,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether birds moved off the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_bird_movements,direction=off,bird_type|date
24,1,1,2024-05-28,bird_movement_records,Bird movement records,bird_movement,count,repeated_table,epi_bird_movements,bird_type|date,C5,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content rows and does not confirm no bird movement occurred,records,Number of bird movement rows containing retained analytical content.,Source destination and transporter identifiers are not used.,,,
25,1,1,2024-05-28,eggs_moved_onto_reported,Eggs moved onto premises reported,egg_movement,binary,scalar_response,epi_responses_long,eggs_moved_onto_premises,C6,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether eggs moved onto the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_egg_movements,direction=onto;material_type=eggs,date|description
