raw_field,alternative_name,source_page,section_id,section_name,question_id,subquestion_id,question_text,field_role,response_type,data_type,units,canonical_name,table_name,row_index,row_label,column_name,codebook_id,notes
premid,Premises ID,1,A,Premises Information,A1,,Premises ID,scalar_response,text,character,,premises_id,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
premname,Premises Name,1,A,Premises Information,A1,,Premises Name,scalar_response,text,character,,premises_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
premadd,Premises Address,1,A,Premises Information,A1,,Premises Address,scalar_response,text,character,,premises_address,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
premcnty,Premises County,1,A,Premises Information,A1,,Premises County,scalar_response,text,character,,premises_county,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
ownname,Premises Owner Name,1,A,Premises Information,A1,,Premises Owner Name,scalar_response,text,character,,premises_owner_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
ownph,Premises Owner Phone,1,A,Premises Information,A1,,Premises Owner Phone,scalar_response,text,character,,premises_owner_phone,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
owneml,Premises Owner Email,1,A,Premises Information,A1,,Premises Owner Email,scalar_response,text,character,,premises_owner_email,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
premlat,Premises Entrance Latitude,1,A,Premises Information,A1,,Premises Entrance Latitude,scalar_response,text,numeric,degrees,premises_latitude,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
premlong,Premises Entrance Longitude,1,A,Premises Information,A1,,Premises Entrance Longitude,scalar_response,text,numeric,degrees,premises_longitude,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
amlname,Animal Owner Name,1,A,Premises Information,A1,,Animal Owner Name,scalar_response,text,character,,animal_owner_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
amladd,Animal Owner Address,1,A,Premises Information,A1,,Animal Owner Address,scalar_response,text,character,,animal_owner_address,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
amlph,Animal Owner Phone,1,A,Premises Information,A1,,Animal Owner Phone,scalar_response,text,character,,animal_owner_phone,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
